author,title,text
Ольга Андреева,"Выключи лампу, не спи, но молчи -","Выключи лампу, не спи, но молчи -
бомбардировщики воют в ночи,
завтра приедет Иван на печи."
Аля Хайтлина,Мы делим время на сегодня И довоенное,"Мы делим время на сегодня И довоенное.
Когда-то будет посвободней,
Поспим, наверное."
Дмитрий Герчиков,горят заветные цифры - 24.02.22,"горят заветные цифры - 24.02.22 -
это код времени, слово божье, ключ к истине.
Берегите ее, берегите не проебите ее, не проебите..."
Анна Гальберштадт,Обычное необычное историческое время,"Обычное необычное историческое время
корабль кренится
или вовсе идет ко дну"
Хаим Сокол,Буду не говорить,"Буду не говорить
Хрипеть
Шепелявить картавить сипеть
Мычать
Молчать"
Валерий Дымшиц,рот кричит,"рот кричит
душа молчит
сердце кровоточит
капля камень точит"
Александр Скидан,а еще урок говорит молчи,"а еще урок говорит молчи
целее будешь
и тонкая струйка мочи
течет из лицейской осени"
Иван Стависский,Миру — мир! Кирдык режиму!,"Миру — мир! Кирдык режиму!
Ну-ка, ядерный грибок,
Не до жиру - по ранжиру
Полезай в наш кузовок!.."
Мария Малиновская,и что это за мысль сменить власть?,"и что это за мысль сменить власть?
ты е*анулась?
это как я хочу замуж ребёнка
господи все хотят и чё"
Мария Малиновская,Насрать нам на ихние санкции,"Насрать нам на ихние санкции
Пришел конец однополярного мира
Мы тут ходим теперь под китайцами
Поэтому ты спокойно спецоперируй."
Всеволод Емелин,"Брат мой, ты себя береги","Брат мой, ты себя береги
От осколков снарядов и пуль.
Официант! Мне еще шот на ход ноги!
Я сегодня не сяду за руль."
Варвара Недеогло,¡ә-БУДЬ РүССКОЙ+ОЙ+вОЙ/НА/РӦССИЮ!,"¡ә-БУДЬ РүССКОЙ+ОЙ+вОЙ/НА/РӦССИЮ!
ja pol'zu jus' j'azykom / я раж за рай ү *
ӵест $\mu \varepsilon$ пиөң ${ }^{*} \mathrm{e}^{*}$ еӗрэқо ${ }^{*} \mathrm{e} »
mї
ҚРЎҒӨМ ВӨЗ̧МӘӁНО БӦҒ"
Евгения Вежлян,ПОСЛЕ ФЕВРАЛЯ,"Под городом Шостка Сумской области —
В могиле, оформленной так богато,
чернокаменным отделанной обелиском,
а на обелиске - портрет и даты
Лежит моя бабушка Мария Михална,
Совсем одна, одна-одинешенька.
Все поуезжали-поумирали,
наших больше в городе не осталось,
Да и мне самой, как бы ни хотелось,"
Евгения Вежлян,Нету к той могиле пути-дороги.,"Нету к той могиле пути-дороги.
Говорят мне страны моей властелины Ничего говорят мы все исправим
Мы поедем туда на быстрых танках
Чтобы каждый мог положить цветочки и прибрать родные ему могилки.

Нет скажу я страны моей володыкам
Не могу я принять вашу эту помощь
Больно танки тяжелы и снаряды злобны
Напугается от них Мария Михална
Треснет хрупкая плита, и цветы завянут,
И сотрутся буквы с нее и цифры
И портрет обожжет нестерпимым жаром.
Уходите, я скажу, уберите танки,
Не будите, я скажу, ни детей, ни мертвых.
И тогда я сама полью цветочки
На могиле дорогой, помяну як треба.
И споет надо мной полевая птаха песню бабушке моей украиньской мовой
яку бабушка моя викладала справно своего життя п'ятдесят чудових років."
Елена Михайлик,Змей Горыныч у Елены Молоховец,"Змей Горыныч у Елены Молоховец
Уволок полсотни больших и малых овец,
Развалил подвал, сломал разделочный крюк,
Вскипятил сметану на семьдесят верст вокруг.

Но гуляет дым из молоховецких труб,
Но сияет суп из множества рыб и круп,
Но приправлен овраг ежевикой и трын-травой
Если блинчики чуть горчат, то и гость живой."
Елена Михайлик,"Полуночный чай, мармелад о пяти сортах","Полуночный чай, мармелад о пяти сортах,
На дорогах сейчас - как повсюду в этих местах,
И над берегом, где маслины глядят во тьму,
Перепелки своих поминают в ночном Крыму."
Елена Михайлик,Дымный вкус у вина и не в пору красна луна,"Дымный вкус у вина и не в пору красна луна,
Молодая хозяйка утром, восстав от сна,
Обновит завод, проверит число и год
И машинным маслом третью грядку польет."
Елена Михайлик,Дракона раздражало,"Дракона раздражало
Отсутствие войны и добычи...
до первого миллиарда -
Дальше он спит на сокровищах,
Заработанных новой IT-компанией.
Доволен жизнью.
Раньше никто из его детей
Не строил царства
Непосредственно из воздуха и тьмы,
Хотя казалось бы."
Елена Михайлик,"- Так я и не твой, -","- Так я и не твой, -

Молча думает сын
Двух сотрудников Госплана.
Он-то знает, как маленькая хрупкая добавка —
Например, хорошая поисковая система,
Может сделать целое -
Например, жизнь на земле -
Более, а не менее прочным.
И у него большие
Планы на будущее."
Елена Михайлик,"Принцессу прячут в соседнем мире,","Принцессу прячут в соседнем мире,
В семье простолюдина,
Выбрав упрямого, талантливого,
Хорошего учителя,
Того, кто не увидит разницы
Между дочерью и сыном
И даст ей подобающее образование -
Ей ведь еще править.

Когда враг отыщет убежище
И войдет в ее сон,
Он будет уверен в победе -
Девчонка, не боец.
Термин «шахматный рейтинг» и место в нем
Не говорят ничего.
Откуда ему знать, что принцессу
Растили как принцессу
И сейчас только три"
Елена Михайлик,Удачных компьютерных программы,"Удачных компьютерных программы
И сорок человек на планете
Могут поспорить с ней...
Люди - с переменным успехом.
Новый противник - это удовольствие, это удача.
Тут главное продержаться под огнем
(Вернее, внутри огня
И всего того, чем здесь делают ход)
Первые несколько мгновений,
Пока разберешься в правилах.
Так ее научили.
А потом она пойдет вперед."
Елена Михайлик,"Проснувшись, принцесса запишет","Проснувшись, принцесса запишет
Серию шахматных этюдов
В своей обычной агрессивной манере.
Снилась полная готика,
Железная саранча
При поддержке зверя из моря.
Будапешт располагает,
Семейная история - тоже.
За ночь ее рейтинг
Подрос на несколько пунктов.
Не очень сильно -
Голод, Война, Чума, Смерть
Никогда не отступают надолго.
В этот раз она отыграла
Сутки-двое, не больше.
Но это приятно - и не только потому,
Что приносит очки.
Принцесса любит жизнь вокруг
Почти так же сильно, как шахматы."
Елена Михайлик,"Те, кто ее спрятал, не придут за ней.","Те, кто ее спрятал, не придут за ней.
Они тоже смотрели этот сон
И видели принцессу целиком:
«Фантом» в воздухе,
Кархародон в воде -
Есть разновидности прекрасного,
С которыми не хочется встречаться."
Елена Михайлик,Чей-то голос говорит: «Останусь. Нужен».,"Чей-то голос говорит: «Останусь. Нужен».
Дальше обрывки, осколки,
Страшный шум, перемешивающий все внутри,
Потом зарево."
Елена Михайлик,Эвакуация выбрасывает его в Бирме.,"Эвакуация выбрасывает его в Бирме.
Ему четыре. Говорит по-английски.
Его документы нашиты на куртку.
Не помнит, когда и кем.
У многих так.
Внутри огненный столб, смерч,
Где сгорают воздух и металл,
Но никакой опоры.
Тоже не редкость."
Елена Михайлик,"В школе, в предгорьях Памира,","В школе, в предгорьях Памира,
Куда не долетают бомбардировщики
(Долгий поезд везет, укачивает,
Позволяет найтись внутри),
На вопрос «где твои?»
Обычно показывают подбородком
На северо-запад или на юго-восток,
Определяя театр.
Плакать нельзя.
Он кивает в сторону зарева, которое видит
Каждый раз, когда закрывает глаза.
Всем понятно - Сингапур.
Всем понятно, кто он."
Елена Михайлик,"Кем бы ни был раньше, В этой куртке он — Часть Британской империи.","Кем бы ни был раньше, В этой куртке он — Часть Британской империи.
Все, что вокруг, кажется правильным.
Включая войну,
Которую они пока проигрывают.
Но это не повод останавливаться
Или сдаваться.

Потом им начнут преподавать математику И физику.
И он снова услышит эту логику, Эту музыку, эту правильность.
Потом усыновят -
Тоже военный. Семью накрыло блицем.
Он не помнит,
Откуда в предложении взялось «тоже».
Но это правильно как физика.
Человек рядом с ним -
Кристаллическая решетка,
На которую может опереться смерч.

Восемьдесят лет спустя -
Физика, музыка, стихи,
Командорство в ордене Британской империи
Дано по совокупности,
Хотя физика местами сомнительна
(С точки зрения этики, не науки)...
Восемьдесят лет спустя
Его окликают на родном языке,
Вернувшемся мгновенно, как вкус, как запах.
Свои.
Эвакуация разбросала очень многих
Очень далеко. Его - дальше прочих.
Но - нашли.

Всю жизнь он думал: ты знаешь, кто ты,
А потом за спиной открывается дверь,
А там...
Так бывало с детьми войны."
Елена Михайлик,"То, что лежит за его собственной дверью, Странно даже ему.","То, что лежит за его собственной дверью,
Странно даже ему.

- Нет, — говорит он на родном,
Хотя в нем нет таких понятий.
Я остаюсь. Я здесь привык.

И тогда они называют его по имени.

Потом сказали, что это был ураган,
Атмосферный феномен,
Внезапный скачок давлений...
А это просто он был назван
И принял привычную форму."
Елена Михайлик,Средневековые художники Изображали ему подобных,"Средневековые художники
Изображали ему подобных
Как шесть сцепленных огненных колец
С крыльями и глазами...
С перспективой у них было плохо
И с воображением,
Неспособным вместить
Тех-кто-у-подножия-престола.
Светоносец был первым из них,
Он сам - не последним."
Елена Михайлик,"- Нет, — говорят плазма, пространственная воронка,","- Нет, — говорят плазма, пространственная воронка,
Совокупность времени,
Червоточина между... всем,
Намерение, сила и слава,
Вспомнившие себя целиком,
Включая то давнее решение
Остаться и прикрыть.
- Нет.
Вы опоздали на четверть века.
Мне было предложено
Звание рыцаря-командора
И я его принял.
Я дал клятву
Ее Величеству
Искренне и по доброй воле.
Вы не причините вреда
Моему дому."
Елена Михайлик,"Чего, - смеются ему, -","Чего, - смеются ему, -

Клятвы, данные людям,
Стоят для упавшего ангела?
Они думают, что они сильнее,
Но у него внутри - кристаллическая решетка.
И там, на юго-востоке,
Навсегда горит Сингапур."
Елена Михайлик,Я был павшим ангелом.,"Я был павшим ангелом. -
Педантично поправляет рыцарь
С очень банальной фамилией,
Доставшейся при усыновлении. -
Теперь я англичанин.
И закрывает дверь
Во всех пространствах.
Тоже навсегда.
Потом долго пьет чай,
Гладит кошку, дышит -
Сердце уже не то.
Думает, что если эту структуру -
Фактически, его собственную -
Воспроизвести формульно,
Модифицировав для «здесь и сейчас»,
Получится хорошая физика.
И она пригодится Министерству обороны,
Если им попробуют нанести визит...
С любого направления.
Не очень этично с его стороны.
Но он, как-никак, не ангел.
Совершенно."
РОМан Лейбов,АНАТОМИЯ РЕСЕНТИМЕНТА,"при сталине ипотека была $1 \%$
баррель стоил 100000 долларов
за копейку можно было купить все акции эппла
а бигмаки и кока-колу
в цпкио раздавали бесплатно
прекрасные пионерки
предкомсомольского возраста
в белых передниках
многоточие

при сталине нравы были кристальны
польта приталены
взоры пристальны все враги порасстреляны
да винтовочки стальные куда надо понацелены
фабрики-заводы все досрочно достроены
в столовых крахмальные скатерти постелены
на них рюмочки хрустальны по уставу порасставлены
все писатели-поэты разных премий удостоены

вот прогоним себя
и заживем
как при сталине"
РОМан Лейбов,Проводят акцию «Кащеев полк».,"Проводят акцию «Кащеев полк».
С трибуны лыбится серый волк.

Змеей по площади ползет толпа, на палках качаются черепа.

Прошлогодние листья, задорный прах, несутся в атаку по мостовым."
РОМан Лейбов,Ветер посвистывает в черепах.,"Ветер посвистывает в черепах.
Черепа улыбаются постовым.
С запада запах крови летит.
Зомби нагуливают аппетит.
Слюна ползет из каждого рта.
Пестрая лента черным-желта.
И глядя пристально на нее,
Святой Георгий заносит копье."
Дмитрий Коломенский,"У всех весна, а у нас война.","У всех весна, а у нас война.
У нас войной голова полна, И это слово на букву «вэ»
Гудит в моей голове.

У всех обед, а у нас война.
Настали гнойные времена:
Смердящий месяц, кровавый год,
Засилье чумных погод.

У всех бардак, а у нас война.
Войне не скажешь: иди ты на! -
Она врастает в мое житье,
И не обойти ее.

О чем еще говорить, о чем?
Хохочет век за моим плечом,
Клокочет пламя в моей груди
Ни проблеска впереди."
Дмитрий Коломенский,"А мне твердят, что война не здесь,","А мне твердят, что война не здесь,
Здесь можно жить, целоваться, есть.
Но кто там чистит на горе всем
Заржавленный АКМ?

Мой сын, ты видишь святые сны.
Но ты родился в канун войны,
И мертвая тень ее крыла
На темя твое легла.

За что тебе такая беда,
Как яд, разлившаяся вовне,
И я, сгорающий от стыда
В прозрачном сухом огне?"
Владимир Гандельсман,"О будь благословен, мой Избавитель, моя твердыня,","О будь благословен, мой Избавитель, моя твердыня,
Ты в мои персты вложил копьё, могучий щит мой - Ты.
Я Твой воитель.
Не дивно ли, что обращен Господень взгляд на того, чья жизнь на волоске!
Что человек? - Тень ветра на песке.
Он мимолётен.
Сойдя с небес, Тобою наклонённых, —
Тебе покорны молнии, мой Бог! молю, испепели дотла врагов иноплемённых!
Десница их - десница лжи безумной.
Избавь! Они ползут со всех сторон.
Тебя лишь славит мой псалтерион десятиструнный!"
Владимир Гандельсман,Да вымрет род их пагубный и тощий!,"Да вымрет род их пагубный и тощий!
Да возрастут сыны Твои, как лес, и дочери - под нежностью небес прекрасной рощей!
Да будут наши житницы обильны зерном, да приумножатся стада! Твоя рука щедра во все года, а власть всесильна!"
Игорь Котюх,спасите нас,"спасите нас
помогите нам
в город летят ракеты
в город заходят танки
международное сообщество обсуждает ситуацию по телефону международное сообщество осуждает ситуацию в интернете международное сообщество проведет экстренную встречу

на следующей неделе

спасите нас
помогите нам
в городе воздушная тревога
мы провели бессонную ночь в метро
повсеместно проходят большие и маленькие митинги
против войны
высотки и госучреждения подкрашивают иллюминацией
в цветах флага пострадавшей стороны
юзерпики в соцсетях льются широкой рекой из флажков
пострадавшей стороны"
Юлия Крылова,спасите нас,"спасите нас
помогите нам
мой ребенок кладет в портфель набор тревожного чемоданчика мой ребенок спрашивает: нас всех убьют?
международное сообщество составляет композицию из санкций интеллигенция подбирает слова для описания смятения аналитики прогнозируют длительность военных действий

мир больше не будет прежним
25 февраля"
Роман Ослинкин,люди продолжали жить слушать музыку курить у окна стоять молчать и говна не замечать,"люди продолжали жить слушать музыку курить у окна стоять молчать и говна не замечать
люди продолжали жрать люди продолжали срать и не замечать говна под названием война
люди продолжали выть блеять лаять и скулить и говно с лопаты жрать словно божью благодать"
Роман Ослинкин,и говно с лопаты жрать сблевывать и напевать ах война война война,"и говно с лопаты жрать сблевывать и напевать ах война война война
вот уж поедим говна на миру и смерть красна
вот уж поедим говна люди вот прямой эфир
крематорий русский мир сразу попадаем в рай
чего хочешь выбирай хочешь сладкие бока иль копченая нога
хочешь из ушей рагу два по ценам одного
а по промокоду смерть можно свое сердце съесть
просто вынуть из груди вот как я сейчас гляди
и сырое прямо в рот
был народ и нет народ"
Александр Скидан,русские бомбят мать городов русских,"русские бомбят мать городов русских
это у них называется «нравится - не нравится» и далее по тексту такая мою твою мать геополитика
геомать архивы земли в саркоме чернобыля
это не у них это у нас
и далее по тексту"
Александр Скидан,Пять десятков прожив с половиной,"Пять десятков прожив с половиной
Неуклонно сгущавшихся лет,
Угодил я на остров Змеиный,
А с него отступления нет.

Ибо жизнь - это остров Змеиный,
А под стать ей и Родина-мать.
Мы привязаны к ней пуповиной,
Но однажды приходится рвать.

Местной жизни моей угрожая,
Вы подобны тому кораблю.
Искони ты была мне чужая.
Ты не любишь - и я не люблю.

Сколько можно молить и гундосить?
Нынче время понять и проклясть,
Эту жизнь нелюбимую бросить,
Как гранату, в зловонную пасть.

Всё расхищено, всё пережито,
Что не вывезли, то размели...
Чем мне, собственно, здесь дорожить-то?
Разве горстью змеиной земли?

Но на ней уже царствуют змеи,
Их ползучий, безудержный зуд,
И поэтому будет вернее
Ничего не достраивать тут."
Александр Скидан,Мы ли ждали другого финала?,"Мы ли ждали другого финала?
Мы ль хотели иного конца?
Я ведь прожил с клеймом маргинала,
То есть, проще сказать, погранца.

Прав поэт - «несравненное право
Самому выбирать свою смерть»,
Но сначала тебе, сверхдержава,
Харкнуть в морду законное «Merde».

С вашей бляхой, папахой и плахой,
С вашим вечным «пугай и карай»...
И поэтому шёл бы ты на ...,
Мой российский военный корабль."
Татьяна Вольтская,Гробов не будет. Наших детей сожгут,"Гробов не будет. Наших детей сожгут
В походной печке, а дым развеют
Над украинским полем, и чёрный жгут
Сольётся с дымом пожара - вон там, левее.

Вместо тела вежливый капитан,
Позвонив в квартиру, доставит пепел
В аккуратном пакете и молча положит там,
Под фотографией, где залихватский дембель"
Татьяна Вольтская,"Перерос в контракт. Расстегнув портфель,","Перерос в контракт. Расстегнув портфель,
Вынет бумагу и, дёрнув шеей,
Будто что-то мешает, усядется, как на мель,
На табурет: подпишите неразглашенье.

Она подпишет. И он поспешит назад
Мимо телика с Басковым недопетым
И двухъярусной койкой, где младший брат,
Девятиклассник, с него не спускает взгляд,
Свесившись - будто ждет своего пакета."
Татьяна Вольтская,Мои сыновья не пойдут убивать,"Мои сыновья не пойдут убивать
Я спрячу их в чащу, в подвал, под кровать,
Для чёрного дела вам их не достать
Ни старший, ни младший - не кат и не тать,
Оставьте мечты - украинская мать
Не будет рыдать по вине их."
Татьяна Вольтская,"Велите сражаться своим сыновьям,","Велите сражаться своим сыновьям,
Раздайте разгрузки их сытым друзьям,
В полях украинских - немерено ям,
Где глубже - подскажет вам вещий Боян,
Поскольку слепому виднее."
Татьяна Вольтская,Мои сыновья не пойдут на войну,"Мои сыновья не пойдут на войну
Я каждого чёрным дроздом оберну,
И вам не достать их, как с неба луну,
И с вами они не разделят вину,
Останется чистым их сердце:
Топтать под проклятья чужую страну
На светлом Днепре, на широком Дону
Не будут их пыльные берцы."
Алла Горбунова,под меди звон и звук кимвала,"под меди звон и звук кимвала
под гром пророчества и тайн
любовь не думала, не знала
жила, дышала просто так

сквозь тусклое стекло глядела
как движут горы и моря
всем верила и всё терпела
не мысля зла, благодаря

когда пророчества закончив
все замолчали языки
её одной смотрели очи
из-за холмов, из-под реки

на облаке и на асфальте
у старой фабрики в снегу
любовь сказала: хватит хватит
я всё я больше не могу

но некуда уйти и нету
другой работы и планеты
взялась, как дворник, за лопату
а что я рою - непонятно"
Екатерина Задирко,когда привык всё делать заранее,"когда привык всё делать заранее
складывать в конвертик
вычеркивать из списка
быть довольным собой
тогда в том мире, где
остались только вещи и дела
нежные и страшные
как камни на морском берегу
в том мире
ты приходишь на день рождения
и говоришь
прости, я написал эту открытку
еще до войны."
Николай Караев,БЕЗ ДНА,"Растает лед, растает ад, растает в небе черный зад,
растают лица в темноте, растают тучи.

Ну а пока херов наш путь, и нам ни лечь и ни уснуть:
прогрызли мы дыру в мечте до сути сучьей.

И те, кто сгинул на войне на той и этой стороне,
однажды руку подадут, помогут встать нам.

Ну а пока наш хрусткий мир горит под клекотом мортир,
и в этом яростном бреду мы где-то братья."
Алексей Порвин,До РАЗъяСнЕний,"В больничном детстве дрались подушками, иногда сворачивали лоскутное одеяло в подобие огромной дубины лупасить противника или избивать другое лоскутное одеяло, свёрнутое в трубу, в такие моменты совсем не подзорную —

к ней бы
прильнуть, разглядеть телесное тепло заснувшей звезды нашей больницы, направить внимание на девичьи очертания небесного тела
(Она переела сырых семечек и её вот-вот стошнит на казённое одеяло —
или чем она там укрыта - и пока не знает об этом)
Но мальчикам важней победа над другими мальчиками, да и во многих семя желания обожжено семьей, школой, государством
Один из них закрывает глаза, а когда вновь открывает, видит, как страна, сшитая из лоскутов, бьёт другую такую же, свернувшуюся от ужаса в рулон, она - словно чертёж, получивший оплеуху от нагрянувшей невозможности воплощения инженерного проекта нового мироустройства Куда подевались тридцать лет жизни? Кажется, никуда, ведь ничего не изменилось
Эти годы никуда не делись, ведь им не до астрономии"
Алексей Порвин,"Прими за меня решения, построй мои планы, внедри в меня свое зрение, свой слух, свое чувство справедливости, траченой молью","Прими за меня решения, построй мои планы, внедри в меня свое зрение, свой слух, свое чувство справедливости, траченой молью
Сжимай приклад автомата моей рукой, произноси моим ртом обоснования вторжения, причины превосходства одних лоскутов над другими, пока нитки не истлели
Время говорить об украинской старушке, она угощала русских солдат сырыми подсолнечными семечками
Почему сырыми? «Чтобы выросли подсолнухи из ваших тел, когда вы умрете, будет хоть какая-то польза...»
Держатся лоскуты, впиваются друг в друга матерчатой хваткой
Но с очередным ударом рассыпятся одеяла
Не разберешь потом, где какие лоскутные куски
Счастье ли потом сшивать с печалью?
Но как же громко будет ругаться завхоз по центральным каналам ТВ"
Алексей Порвин,"В нездоровом детстве, в той самой больнице появлялся какой-то низкорослый дяденька, давал распоряжения: кому какой пододеяльник надеть, когда идти в столовую, почему нельзя грубить старшим, почему нельзя сопротивляться и звать на помощь, когда он тебя трогает, почему нужно раскроить одно одеяло («оно слишком большое»), а другое вовсе сжечь («в нем завелись клопы или тараканы»), из каких лоскутов следует сшить новое одеяло, почему нельзя протестовать, когда он обращается к кому-то из нас «хохол», «татарин», «чурка», зачем чеканит шаг по коридорам, которые тошнило от его важности","В нездоровом детстве, в той самой больнице появлялся какой-то низкорослый дяденька, давал распоряжения: кому какой пододеяльник надеть, когда идти в столовую, почему нельзя грубить старшим, почему нельзя сопротивляться и звать на помощь, когда он тебя трогает, почему нужно раскроить одно одеяло («оно слишком большое»), а другое вовсе сжечь («в нем завелись клопы или тараканы»), из каких лоскутов следует сшить новое одеяло, почему нельзя протестовать, когда он обращается к кому-то из нас «хохол», «татарин», «чурка», зачем чеканит шаг по коридорам, которые тошнило от его важности
Это от него мы узнали, что наша звезда — «хохлушка», потому она так любит семечки, она - объект, любви и восхищения недостойный
Мы ждали, что когда-нибудь больничный быт вытошнит нас, и мы согласны были на бытие в роли потенциальной блевотины, лишь бы нас исторгли
В его присутствии вытравливалось «я» каждого из нас, и каждый становился тёмной кожуркой некогда благодатного зерна, и мы шелестели, обретая пугающее сходство"
Алексей Порвин,с зашуганными насекомыми,"с зашуганными насекомыми
Лишь через какое-то время старшая медсестра сказала, что он - всего лишь уборщик, и у него нет полномочий решать, что делать с нашими одеялами, лоскутами тел, обрывками судеб, сшитых нитью больничного света в коллективное ожидание выздоровления как встречи с мамой и папой
С облегчением смотрели мы на него, даже с каким-то чувством жалости: мы знали, что ему время от времени мерещатся вредные насекомые, но это от постоянного опьянения - то ли дихлофосом, то ли иллюзией власти"
