author,title,text
Владимир СИЛКИН,"Наше оружие - слово, Мы не приемлем бравад.","Наше оружие - слово,
Мы не приемлем бравад.
И поднимается снова
Нас защитить Сталинград.

С нами погибшие деды,
Смотрят сквозь вечную тьму.
Славные наши победы
Не отдадим никому.

С армией нашей и флотом
Нас невозможно сломать.
Если не ведает кто-то,
Родина, это же - мать.

Мы защитим ее снова,
Мощь в нашей армии есть.
Наше оружие - слово,
Выдержка, слава и честь."
Владимир СИЛКИН,Мою божественную Русь,"Мою божественную Русь
Стереть готовится со света.
Но память русских городов
Вовек не даст себя в обиду.
И за нее я в бой готов,
В любой момент на сечу выйду.
Не троньте праведную Русь,
Она крепка в своих объятьях.
Я -русский! Этим и горжусь!
И вы гордитесь этим, братья!"
Владимир СИЛКИН,СЫН ДАГЕСТАНА,"В Дагестане скверная погода -
Дует ветер с дальних гор в лицо.
В феврале 22-го года
Ты рванул гранатное кольцо.
Сделал все, конечно же, как надо.
Мы еще узнаем и о том,
Как ребята оказались рядом,
Отгоняли нелюдей огнем.
Вновь весна стоит, и солнце светит,
И как витязь, ты уходишь в бой.
Кем гордиться мне на этом свете?
Это однозначно, что тобой!"
Владимир СИЛКИН,ДОНЕЦК,"Я не бывал там и вот наконец-то
С другом безмолвно стою,
Слушаю, как по слепому Донецку
«Грады» бессонные бьют."
Владимир СИЛКИН,Наверняка искалечат кого-то,"Наверняка искалечат кого-то,
В землю загонят по грудь.
И бесконечная эта «работа»
Не позволяет вздохнуть.

Зябко в подъезде разбитого дома,
Воет волчицей метель.
Это оттуда, с аэродрома,
Двери срывает с петель.

Вот и опять загорается крыша,
Мечутся тени в огне.
Кожею чувствую, кожею слышу
Лупят снаряды по мне.

Что ты забыл тут из прошлого века?
Вон из Донецка домой!
Это последнее, что человеку
Враг оставляет зимой.

Битые стекла и затхлость подвала,
Серые лица впотьмах.
Что ж ты, Европа, бездушною стала,
Спишь в своих сытых домах.

Знаю, Европа, аукнется вскоре
Страшное это кино,
Ведь не бывает соседского горя,
Горе на свете одно.

Не оставайся сейчас без ответа,
Чтоб никогда не узнать,
Как это страшно без хлеба и света,
И без воды выживать..."
Владимир СИЛКИН,ТАКИЕ ДНИ,"Летят снаряды в сторону Ростова,
Еще минуют чью-то жизнь они.
В запрете не чужое, наше слово!
Такие дни, такие дни, такие дни..."
Владимир СИЛКИН,"Такие дни, что сердце лихорадит...","Такие дни, что сердце лихорадит...
И светлое у темного в тени.
Опять у нас стреляют, слышишь, прадед?
Такие дни, такие дни, такие дни....
Что я скажу теперь на это внуку,
Что срок терпенья вовсе не истек?
Что не усвоил я твою науку -
Не подставлять врагу бездумно щек?
А жизнь идет, и время правду пишет,
Но не горят сигнальные огни.
Я говорю, а мир меня не слышит.
Такие дни, такие дни, такие дни..."
Владимир СИЛКИН,ПОД ДОНЕЦКОМ,"У меня тут ни кума, ни свата.
Тут ни голоса нет, ни огня.
И когда-то беленые хаты
Исподлобья глядят на меня.
И несносно от этого взгляда:
В нем ни капли людского тепла.
По-хозяйски заходят снаряды
В эту хату, где радость жила.
Ни собаки, ни кошки у тына!
Черный снег и снаряд на снегу.
Как же будешь ты жить, Украина,
Перед этою хатой в долгу?!"
Владимир СИЛКИН,ВОРОНКА 2015 ГОДА,"Под Луганском зияет воронка,
Догорает чужое жилье...
Ах ты, светлого света сторонка,
Ах ты, горькое горе мое...
Пахнет свежею кровью и гарью,
Вдоль обочины встали кресты."
Владимир СИЛКИН,"И кричит изувеченный парень, И срывает, как кожу, бинты.","И кричит изувеченный парень,
И срывает, как кожу, бинты.

Навалились такие напасти!
Но суровей, чем в прошлом году,
В бой идут регулярные части,
На своих же, по сути, идут.

А повязка у парня намокла,
Снег под ним, словно маковый луг.
И зияют ослепшие окна,
Безразлично взирая вокруг.

А уже подступают морозы,
И такие спешат холода!
Не простятся бездомные слезы
Никому на земле, никогда."
Владимир СИЛКИН,Воспоминания о Львове,"В Стрыйском парке, на Краковском рынке
Говором сводят с ума украинки.
Сводят с ума неземной красотой.
Было давно это. Было со мной.
Было давно это, было во Львове...
И спотыкаюсь я на полуслове.
Было давно. Улыбался рассвету,
Как и положено в жизни поэту.
И проглядел и страну, и майданы,
Что затевали в стране шарлатаны.
Мелкие личности, жалкие бесы,
В мутной воде разглядев интересы.
Как далеко мне сегодня до Львова,
Где обесценилось русское слово!
И не понять мне, где правда, где кривда...
В общем, упали и рубль, и гривна.
Вот и задумался пане Мицкевич...
Каждый сегодня и царь, и царевич...
Что за дымы там, над Краковским рынком,
Застят глаза молодым украинкам?
Это уходит по улицам Львова
Русское слово, приветное слово!"
Михаил СИЛКИН,СПАСИБО!,"Спасибо, армия, родная,
За то спасибо, что ты есть,
Что есть в тебе, я это знаю,
Отвага, мужество и честь!"
Михаил СИЛКИН,ЛЮБОВЬ К АРМИИ,"Никто тебя не остановит,
Ты знаешь, что любима мной.
И нет к тебе такой любови
На целом свете ни одной."
Михаил СИЛКИН,"Нам, русским, жить на этом свете","Нам, русским, жить на этом свете
Сегодня сложно, это факт!
Вы, европейцы, нам ответьте:
Язык, лицо, что в нас не так?

Быть может, вера наших предков?
Или любовь к земле родной,
Иль неприятие объедков
Тех, что толкают к нам ногой!?

Нам ваши не нужны столицы
Нам, слава Богу, в них не жить.
Но слезы, скрытые в ресницах,
Не сможем никогда простить!"
Михаил СИЛКИН,Потеплело. Сеять надо.,"Потеплело. Сеять надо.
Эх, земля моя, остынь...
Горький смрад железных зерен, Разъедает твою плоть
Как могу я быть спокоен?
Дай терпения, Господь!
Западный тяжелый ветер
Покачнул. Я не упал.
Я пока что не ответил,
Я пока, сильнее стал!
Я ведь только распрямился, Я ведь только сделал шаг,
Я ведь заново родился, Я узнал, кто друг, кто враг..."
Михаил СИЛКИН,РОДНОЙ АРМИИ,"Тебе подвластны степь и реки,
Да и по небу ты идешь.
Я знаю, в двадцать первом веке
Ты славу вечную найдешь.
Не остановишься у цели
И точно выполнишь приказ,
Освободишь, как мы хотели,
Не знавший радости Донбасс."
Михаил СИЛКИН,ДРУГУ,"Мы обязательно с тобой помянем павших,
Нальем в стаканы и тебе, и мне.
Гитара нам споет про день вчерашний,
Про тех, кто не остался в стороне.
И мы с тобою помолчим немного,
И будут рядом те, в ком вечный свет.
Молитвой мы дотянемся до Бога,
Ребята с нами, значит, смерти нет."
Михаил СИЛКИН,Нам жить за них и быть вдвойне сильнее,"Нам жить за них и быть вдвойне сильнее,
Смеяться, плакать и растить детей,
Всегда гордиться Родиной своею,
Как матерью единственной своей."
Михаил СИЛКИН,Не служат расстояния помехой,"Не служат расстояния помехой,
Уз дружбы километрам не порвать.
Связь с близким и достойным человеком
Наладится, лишь надо подождать.

Бывает, мы надолго расстаемся,
Судьба на прочность проверяет нас.
Но все равно друзьями остаемся,
И он, придет счастливой встречи час.

И лишь того, когда вам будет туго,
Когда нужны поддержка и плечо,
Сердечно называйте просто-другом
И не вините впопыхах ни в чем."
Владимир ШИГИН,МОЯ НОВОРОССИЯ,"Гремела на южных просторах
Победная поступь полков:
Потемкин, великий Суворов,
Румянцев и Ушаков...

Поныне звучат, словно в рупор,
Российскую славу приняв,
Одесса, Херсон, Мариуполь,
Очаков, Екатеринослав..."
Игорь ВИТЮК,ПОБЕДУ ОДЕРЖИТ РОССИЙСКИЙ СОЛДАТ,"Гордимся мы нашей великой страною
И Русского мира столицей столиц,
Но темные силы грозят нам войною,
И вновь неспокойно у наших границ.

Познали Берлин, и Париж, и Варшава,
Что русский солдат справедлив и силен.
Но если война, - мы вернемся за славой
В сиянье российских победных знамен.

Сильны наши воины духом народным,
Никто никогда не сломил наш народ!
И будет врагам наказаньем Господним
Всегда - Авиация, Армия, Флот.

С надеждой глядит Русский мир на Россию.
И знает и враг, и спасенный собрат,
Что огненной мощью и вежливой силой
Победу одержит российский солдат!"
Игорь ВИТЮК,НА СПЕЦОПЕРАЦИЮ,"Я уезжаю на войну -
Подписан боевой приказ.
Свою любимую жену
Я крепко обниму сейчас.

И в бой по зову сердца рвусь -
Без громких пафосных речей, -
Чтоб вырвать Киевскую Русь
Из лап нацистских палачей!"
Игорь ВИТЮК,"Мы - воины добра теперь, Наш путь - возвышен, но кровав.","Мы - воины добра теперь, Наш путь - возвышен, но кровав.
Дай Бог вернуться без потерь,
С Победой - смертью смерть поправ!"
Игорь ВИТЮК,"Я, весь закованный в броню, На теле поправляю крест","Я, весь закованный в броню,
На теле поправляю крест,
В воспоминаниях храню
Дыхание родимых мест.

Страна в лицо не знает нас,
Но Русь в своих сердцах храним.
Мы точно выполним приказ,
И всех нацистов разгромим!"
Игорь ВИТЮК,Солнце свободы встает на Востоке,"Солнце свободы встает на Востоке
Словом Господним и Русской идеей.
Дарит нам свет идеалов высоких,
Но от запекшейся крови чернеет.

Жажда свободы - неутолима,
Путь к ней тернист и всегда многотруден.
Русь поднимали неустрашимо:
Невский, Суворов, Сталин и Путин.

Западным лживым посулам не верьте!
Жизнь посвятите любимой Отчизне!
Запад - дорога, открытая к смерти,
Русский Восток - обретение жизни."
Игорь ВИТЮК,Нам мир на Украине только снится,"Нам мир на Украине только снится,
Ведь на просторах снежных льется кровь.
Когда же злоба в кротость обратится?
В святую и небесную любовь?!"
Игорь ВИТЮК,Но на краю заснеженной пустыни,"Но на краю заснеженной пустыни
Вновь Солнца Русского забрезжил свет.
Он озарил забытые святыни,
И русский знает - смерти в Боге нет!

И снежный пепел прошлых потрясений
Стряхнем с себя, заслышав Благовест.
И мир греха замрет в оцепененье,
Увидев русский Православный крест.

Россия - в нас. Она уже очнулась!
И пусть орет истошно вороньё,
С Россией Бог! Она навек вернулась
Отдать долги и возвратить своё!"
Игорь ВИТЮК,Потайное облако мечты,"Потайное облако мечты
Гонит ветер страсти и надежды.
Снова жду мгновений золотых,
Чтобы я обнял тебя, как прежде.

Сохнет в жажде дерево любви,
Песни света обратилась в стоны.
Захлебнулся Новый век в крови,
Вновь придётся надевать погоны.

Мир у Люцифера на курке,
Ядерных грибов плодятся споры,
Но не будем истлевать в тоске,
Снова к Небу обращаем взоры.

В мраке пепла виден Третий Рим,
Как земной престол для Божьей власти.
И Любовью смерть мы победим,
В неземном найдём земное счастье."
Игорь ВИТЮК,В час предрассветный,"В час предрассветный,
В короткий час,
О чём заветном
Мечтал не раз?
Как вдруг уйду я
В Святую Русь, -
В Москву крутую
И не вернусь.
Как брошу хату, Своё село,
Чтоб стать солдатом
Друзьям назло.
Дивчина скажет,
Что я - москаль!
На дверь укажет,
А мне - не жаль!
Послужим верой!
Господь, спаси!
Став офицером
Святой Руси."
Игорь ВИТЮК,"Но, как ни странно, Мечты сбылись.","Но, как ни странно, Мечты сбылись.
И очень славно
Сложилась жизнь.
Щедра к желаньям
Моя Москва,
Исходит бранью
Вокруг молва.
А я - полковник,
К тому ж - поэт,
Но в снах сыновних -
Покоя нет."
Игорь ВИТЮК,"Забыл я Киев, Забыл Днипро.","Забыл я Киев, Забыл Днипро.
Слова чужие
Гнетут перо.
И что я сыну
Смогу сказать?
Про Украину,
Про ридну мать?"
Игорь ВИТЮК,Моя Украйна -,"Моя Украйна -
Давно не Русь,
Там жить не файно*) -
Сплошная грусть.
Кругом - чужбина,
И нет села.
Друзей судьбина
В гробы свела.
И без поблажки
Порублен сад,
Многоэтажки
В дыму висят.
Но в прежнем мире,
Где благодать, -
В пустой квартире
Тоскует мать.
В тиши лампадной
Молясь за нас
В час предзакатный,
В ненастный час."
Александр САВИЦКИЙ,Как и было всегда: лишь короткое «Есть!»,"Как и было всегда: лишь короткое «Есть!»,
И к границам заблудшего брата,
Помня твердо про верность, про мужество, честь,
Подошли мирно наши ребята.

Ну а после, а после - вперед и вперед,
От фашистских бандитов спасая.
И родной нам простой украинский народ
Встретит вас рушником с караваем!"
Александр САВИЦКИЙ,"Солдаты России, здесь - древняя Русь!","Солдаты России, здесь - древняя Русь!
Исконно земля эта - наша!
Вы правду сказали родным: «Я вернусь!»,
И Пети, и Коли, и Саши!"
Александр САВИЦКИЙ,"Восемь лет наших братьев, наш русский язык","Восемь лет наших братьев, наш русский язык
Уничтожить пытались нацисты.
Жить в подвалах и в страхе народ не привык,
Горизонт видя в будущем чистым.

И свершилось! Россия сказала: «Пора!».
В ДНР, в ЛНР - слезы счастья!
И как будто Берлин взят: сплошное «Ура!!!»,
И его не разделишь на части!"
Лев КОТЮКОВ,Тайна зла всегда противостоит власти,"Мы все у Бога на примете,
Но одного возносит он,
И он за всё один в ответе
В безумье дьявольских времён.

Когда - разор в стране огромный,
Прозрев земное в неземном,
Он восстаёт над бездной тёмной
В единоборстве с тайным злом.

Безумны злые силы Мира
И Солнце чёрное в дыму...
Но имя твёрдое - Владимир
Не зря доверено ему.

Но тяжко свето-воплощенье,
И молит жизнь: «Господь, спаси...»
И в бездне дней идёт Крещенье,
Крещенье новое Руси.

И он один в стране огромной,
Сполна прозревший тайну зла,
В единоборстве с силой темной
Спасёт двуглавого орла!"
Лев КОТЮКОВ,Чёрный снайпер бьёт на шорох,"Чёрный снайпер бьёт на шорох,
Я лежу к земле прижат,
Чёрный снайпер бьёт на шёпот,
Чертов снайпер бьёт на взгляд."
Лев КОТЮКОВ,"Головы поднять не смея, «Сохрани, земля!» - молю.","Головы поднять не смея, «Сохрани, земля!» - молю.
Черный снайпер, сатанея,
Выжидает жизнь мою.

В землю теплую вжимаюсь,
Онемевший и слепой,
В землю чёрную вживаюсь,
Становлюсь землёй самой.

Вглубь системой корневою
Кровь пульсирует моя,
Рот забит землёй сырою,
В сердце - гулкая земля.

Я встаю над горизонтом,
Вся земля со мной встаёт.
Где ты, где ты, снайпер чёртов?!
Ну, посмотрим, чья возьмёт?!"
Сергей АРУТЮНОВ,Азбука этой войны проста,"Азбука этой войны проста,
Выучит гопник, поймет эстет:
Если в неведомое езда, $\boldsymbol{Z}$.

Господи, скрой от борзых писак,
Милость неслыханную яви,
Если и нужен какой-то знак V.

Дальше хотели читать бы Е,
Зверь, мол, бездушное существо Хрен вам.
Приканчивает бои O.

Звон это, а не вой существа
Через визгливую брань сирен
Слушайте, что говорит Москва: N."
Сергей АРУТЮНОВ,"Что нужно вам, стыдливцы, от России","Что нужно вам, стыдливцы, от России,
К чему теперь ваш пафос ледяной,
Когда грозят нам, чем всегда грозили,
Петлей, костром, расстрелом и тюрьмой?

Чего трындишь, богемная Европа,
Когда порядок твой уже отпет?
Безадресно - нельзя. Любовь до гроба
Конкретнее наводки на объект.

Он словно гроб, стоит. Обшит глазетом,
И тела жаждет, савана, свечей,
А ты смердишь безумием газетным
И голосишь, пономаря скучней."
Сергей АРУТЮНОВ,На пике офигительных историй,"На пике офигительных историй
Куда ты денешь руки от огня
Во времена, когда молчать пристойней,
Чем болтовня?"
Сергей АРУТЮНОВ,"Господи, слышишь ли? Не тяни,","Господи, слышишь ли? Не тяни,
Коль на расправу скор:
То, что свершается в эти дни,
Слава или позор?..

Мы, что обязаны пасть листвой,
Выйдя за окоем,
Ищем своих, только кто нам свой?
Тот, с кем светло, как днем!

Тот, чья над миром ясна звезда,
Кто бы там ни был с ней.
Господи Боже, сойди с Креста,
И погибать не смей!"
Сергей АРУТЮНОВ,Той самой сединою у виска,"Той самой сединою у виска
В тот самый день, что порохом пропах,
Вернутся победившие войска
Казалось бы, зачем тут о гробах?

И будет май цвести, как не в себя,
И станет каждый сущий отпускник,
И боль с восторгом явятся, свербя.
Гробы придут. Куда же нам без них.

И будет май цветеньем буйным свят,
И станет каждый выживший здоров,
И отдохнут солдаты, и поспят.
Гробы придут. Куда ж нам без гробов.

Вздохнет народ, опасности презрев,
И эшелоны соли и крупы
Пополнят стратегический резерв,
И все забудут, что цена - гробы."
Геннадий ИВАНОВ,Опять о мире и войне...И кто-то плачет.,"Опять о мире и войне...И кто-то плачет.
А для кого-то все кругом так мало значит.
И то и это, и проблем в России масса.
Но все идет на задний план в виду Донбасса.
По крайней мере, так должно быть в эти годы.
Иначе жизни там конец, а не свободы.
Там наша русская душа.
Там наши братья...
И мы должны их заключить
В свои объятья!"
Фёдор Тютчев,"Все богохульные умы, Все богомерзкие народы","Все богохульные умы, Все богомерзкие народы

Не измени же ты себе
И оправдайся перед Богом."
Геннадий ИВАНОВ,Опять враги нацелились на Крым.,"Опять враги нацелились на Крым.
Их вдохновляет давняя победа.
Нацистам этим богомерзким, им
Ни Божий страх, ни страх земной неведом.
Они на нас идут со всех сторон, Но Крым для них особая добыча...
Опомнитесь, и Джонсон и Макрон...
И Байден, усмири свое величье.
Все может быть, но верю, в этот раз
Господь не даст вам повод к ликованью.
Да и ракеты верные у нас -
В них перед Богом наше оправданье."
Геннадий ИВАНОВ,Из жизни нашей стали исчезать,"Из жизни нашей стали исчезать
Слова: присяга, подвиг, верность...
Мы стали в межеумье зависать.
Какой-то низкой стала современность."
Геннадий ИВАНОВ,России быть расхлябанной нельзя,"России быть расхлябанной нельзя.
Со всех сторон, со всех границ - набеги.
Не расслабляйтесь, русские князья,
В покое не оставят печенеги."
Геннадий ИВАНОВ,Они нам никакие не друзья,"Они нам никакие не друзья
И не партнеры - что вы лебезите?
Не расслабляйтесь, русские князья,
И в сердце верность Родине носите."
Геннадий ИВАНОВ,Я был ракетчиком когда-то,"Я был ракетчиком когда-то.
Сержантом был и старшиной.
Я был за Родину, ребята,
Тогда - и нынче не иной."
Геннадий ИВАНОВ,За что вы любите Россию?,"«За что вы любите Россию?»
«А что такое патриот?..»
Как много доблестных усилий,
Чтобы запутался народ."
Геннадий ИВАНОВ,Да ни за что,"Да ни за что. Люблю - и точка.
Душа о Родине поет!
Вопросы эти - заморочка.
Кто патриот - тот патриот."
Геннадий ИВАНОВ,Не фрицы нынче сбрасывают бомбы,"Не фрицы нынче сбрасывают бомбы,
И люди убегают в катакомбы.
И наступают на Славянск не немцы,
А смерть несут сегодня западенцы..."
Геннадий ИВАНОВ,Они вдвойне сегодня западенцы,"Они вдвойне сегодня западенцы
За ними янки, англичане, немцы...
А у Славянска только ополченцы.
России надо что-то совершить,

Чтобы потом не мучиться, а жить
И твердо знать, что мы не отступили,
Не предали, себя не обхитрили,
Святой порыв не дали задушить."
Геннадий ИВАНОВ,Украинские каратели,"Украинские каратели
Разумение утратили
Убивают всех подряд,
Зверства жуткие творят.

Люди ходят как по лезвию
Мины, пули, все летит...
Ждет карателей возмездие.
Кто его осуществит?

Над невинными могилами
Ветви клонятся скорбя...
Только ты, Россия милая,
Вся надежда на тебя."
Геннадий ИВАНОВ,Опять порочат Родину мою,"Опять порочат Родину мою,
и лгут безмерно...
Америку, Европу узнаю,
их натиск нервный.

Их натиск наглый, сговор их, подлог добить Россию...
Но видит правду, видит правду Бог,
а Он - всесилен!"
Геннадий ИВАНОВ,"Ему видней, конечно же, с высот, что","Ему видней, конечно же, с высот, что

было
это:
кто растерзал несчастный самолет, что за ракета."
Геннадий ИВАНОВ,"Нет, это вовсе нам не братья, А просто гады...","Нет, это вовсе нам не братья, А просто гады...
Невинных убивать людей
Так рады.
Им любо жечь, душить, стрелять -
Завет Бандеры...
Мне этих братьев не понять,
Их ложной веры.
Душе вовек их не принять...
Тут ложь на лжи
И снова ложь,
С врагом объятья...
Убитым
Русский им хорош.
Какие братья?!
Давно лелеяли они
Разрыв последний.
Вот и настали эти дни.
Режим соседний...
Не братский, нет,
А злой сосед,
Враждебный даже.
И не такое видел свет,
С печалью скажем.
При этом не впадем в тоску.
Военной ратью
Идти готовы на Москву
Былые братья..."
Геннадий ИВАНОВ,"Там есть и братья и друзья, Но в силе - гады.","Там есть и братья и друзья,
Но в силе - гады.
Невинных убивать людей
Так рады."
Геннадий ИВАНОВ,"Америка - мерзкая, мерзкая.","Америка - мерзкая, мерзкая.
Бомбит, убивает, грозит...
И ложь ее самая дерзкая.
И ложью Европа мерзит.
Россия, бываешь ты разная,
Но нынче ты в мире одна
От истинной правды прекрасная!
Стоящая в правде страна."
Геннадий ИВАНОВ,УКРАИНЦУ,"Украина - ие Европа, ие - не Азия.
Из письма из Харькова.
Це не Европа, Федор, не Европа.
Це Африка, це, друг мой, Сомали.
Наслушался ты, Федя, агитпропа
И сильно оторвался от земли.
Ты посмотри кругом и поразмысли:
Куда вас тащат? Стравливают, жгут...
О москалях вколачивают мысли.
В Европу вас не пустят и не ждут.
Вы им нужны лишь как враги России.
А вы и рады бегать и тусить...
Россия вам, конечно, не по силам,
Но будете пытаться укусить.
Зачем вам, Федя, эта роль собачки?
Зачем вам, Федя, жалкие подачки?
Да и Европа, Федя, уж не та,
И от нее у многих тошнота."
Оксана МОСКАЛЕНКО,ДОНБАСС В ОГНЕ,"Кто мог подумать лишь вчера,
Что будут братья сеять смерть?
И это вовсе не игра,
И мы готовы умереть.
То минный шквал накрыл, то «Град» -
Сжигают дьявольским огнём.
Здесь, на земле разверзся ад,
И мы умрём, но не уйдём!
И как бы ни был враг жесток,
Никто сломить не в силах нас.
Мы русские и с нами Бог!
И будет русским наш Донбасс!"
Оксана МОСКАЛЕНКО,НОВОРОССИЯ,"Я прячусь... А вокруг бомбят.
И в горле - хрип, а в сердце - боль,
И скоро всех нас истребят, -
Мы для врагов - ничто, мы - ноль!
В сырых подвалах, во дворах
Притих напуганный народ.
И леденит предсмертный страх...
Мы - жертва, мы - ненужный сброд...
Будь я мужчиной, то взяла б
Мне непривычный автомат!
Пошла б в атаку против зла,
Бандеровцев отправив в ад!
Об убиенных на войне
В молитве проливаю кровь...
Они, сгоревшие в огне,
Стяжают Вечную Любовь."
Оксана МОСКАЛЕНКО,ГОРЛОВСКАЯ МАДОННА,"Разрывы бомб. Обстрелы храмов. И парк на линии огня. Убит младенец вместе с мамой. Растерзаны средь бела дня.

И позже будет отпеванье, Сейчас разрушен Божий храм. Лишь только ветра причитанья И горький плач оконных рам...

Им довелось пожить немного, Пополнив мучеников рать. Они предстанут перед Богом 0 них молилась Божья Мать.

К мадонне Горловской отныне К заступнице земли своей, Как к новоявленной святыне, Идут с молитвой за детей."
Оксана МОСКАЛЕНКО,ОБСТРЕЛ,"Взрывы, воронки и бомбы... Что это? - Страшный сон? Наши дома - катакомбы, С дочкой дрожим вдвоём...

Взрыв раздолбал всю дорогу Ухнуло, отлегло... Истово молимся Богу, Чтобы нам повезло.

Месяц назад в воронке Сгинул мальчик-сосед. Нет на него похоронки, Как и соседа нет.

Лишь клумба из белых лилий, Её взрастила мать. И мы здесь слёзы пролили, Чтоб его поминать."
Оксана МОСКАЛЕНКО,Но нет! Мы - не биомасса!,"Но нет! Мы - не биомасса!
Солнце взойдёт во мгле!
Мы не уйдём из Донбасса -
Мы - на своей земле!"
Оксана МОСКАЛЕНКО,В командировку муж летит...,"В командировку муж летит...
Гордиться или горевать?
И чувствую, Господь велит -
С молитвой мужа провожать...
Там пекло, там сейчас война.
Там рвутся бомбы в городах.
Там кровоточит вся страна,
И над людьми сгустился страх.
И в небо взвился самолёт, Войною всё обагрено.
Спасём измученный народ
Нам зло пресечь пора давно!
Смешалось всё - где явь, где сон?
Раскаты грома, тишина...
Повсюду крики, плач и стон
Будь трижды проклята война!
Но он летит сквозь дым и боль, И вспоминает про семью,
И с ним - Господняя любовь,
И будет невредим в бою!"
Оксана МОСКАЛЕНКО,Сегодня дочь спросила у тебя:,"Сегодня дочь спросила у тебя:
«Где ты бывал и как тебе служилось?
И есть ли у военного судьба?
Познал ли на войне Господню милость?»
И муж мой - русский лётчик ВКС,"
Оксана МОСКАЛЕНКО,Защита Родины - мой долг и крест И путь защитника и свят и светел,"Защита Родины - мой долг и крест И путь защитника и свят и светел

И ты рванёшь в заоблачную даль,
Расчерчивая небо на полоски,
А на груди - «За Сирию» медаль,
И в памяти - бомбёжек отголоски.

Святая Русь, храни своих бойцов
От ворога, от боли и от страха,
Чтоб не терять мужей, друзей, отцов,
И чтоб воскресли близкие из праха.

А я тебя жду дома у окна,
И вышиваю крестиком картину
На ней уже давно царит весна,
Играют дети - дочка рядом с сыном."
Оксана МОСКАЛЕНКО,МОЛИТВА О МУЖЕ,"Меня ты не обманывал ни разу
И огорошил сразу напрямик:
«С женой не обсуждаются приказы,
Военный перед Родиной - должник.

Я убываю завтра на рассвете
Уже собрал походный вещмешок.
Ты для меня - одна на белом свете,
И нам с тобой во всём поможет Бог!»

Я верю провиденью или чуду
И будет безопасен твой полёт.
Любимый, день и ночь молиться буду.
Молитва на войне тебя спасёт.

Я буду ждать наперекор ненастью,
И за тебя я Господа молю,
Чтоб вместе быть и в горести, и в счастье,
И видит Бог, как я тебя люблю!"
